,chunk_number,paragraph
61,62,"Come on ! - We 're over here ! - We 're over here ! MAN : Sit still . Sit still ! MAN 2 : Look to the slack on the line ! MAN 3 : Pull ! [ sobbing ] This is your baby , ma 'am ? Of course . What do you think ? What is your name ? Uh , Jane . Ah ... Jane Andrews , is it ? And me baby . Right . I 'm Ismay . I 'm ... Ismay . This is the R. M. S. Carpathia . I 'm Captain Arthur Rostrand . Fifth Officer Lowe , sir ."
62,63,"[ clears throat ] My ... ship foundered at 2 : 40 this a . m . we struck an icebergs at 11 : 40 . How many people were left aboard ? Hundreds . Hundreds . Perhaps a thousand . Perhaps more . [ sobs ] They 've all gone down with her , sir . Do you understand ? They 're just gone . Go below , lad . Get yourself warm . Yes , sir . I 'm Ismay . Yes , sir . The crew will take you below , get you some soup , something hot to drink . I do not want anything . Please -- I 'd be much happier if you just left me alone . Get me to a room ... where I can be quiet ."
63,64,"I wish you would . Mr. Stevenson . Take Mr. Ismay to my quarters . Is he ... alive ? I don 't know . Could it be ... my husband ? This is Wynn Park . Mr. Wynn Park . He needs some dry clothes , um , a blanket , um ... and something hot to drink , some soup or ... He needs a doctor . Is there a doctor ? Isabella ... Oh ... darling ... You 're so cold . You 're so cold . He needs to see a doctor immediately . Will somebody please get me a doctor ? He 's -- he 's an excellent swimmer . He said he 'd get to me no matter what happened , and he did . Madam ... I 'm afraid -- Please . Don 't say anything , because I don 't want to hear it ."
64,65,"We 're going to La Paz . We 're going to sit on our Terrace and look down on the red- tiled roofs . Wynn ... just breathe , darling . Just show them you can breathe , darling . Just breathe . Just -- just breathe a little bit . Just -- just breathe . Please , ma 'am , let me help you . No ! Please let me go . He needs me . Isabella ... There 's nothing you can do , anybody can do . Mr Park is ... gone . He 's gone . Then everything is gone . Everything . Oh , my darling . Oh ... [ sobs ] We won 't find anyone still alive out there . Plot a course for New York ."
65,66,"The women on deck , have the crew take them below . As soon as we depart , they 're going to realize they 're widows . Yes , sir . Please go to the captain . Tell him the ship can 't leave yet . Madam -- You don 't understand . My husband is still out there . He -- he may be on a raft , trying to get to us . Mrs. Astor , we 've searched the water . There are no more survivors . I 'm sorry . Isabella ... MRS. FOLEY : $300, 000 ... in securities . My entire paris wardrobe . 12 pairs of shoes , good shoes . 2 ... 3 ... Your dog ? ! Don 't give me that look . He sat on my lap . And Mr. Foley ?"
66,67,"Whose lap did he sit on ? How many people were in your boat ? How many people ? ! 20 ! 30 ! I don 't know . We had no room . There was room for 65 . I lost everything , too . Look at me ! I am a sight . Not even any ... face powder . What about you ? A healthy young man like you , whose seat did you take ? It was an accident . I -- I fell ... from the davit . How convenient . It 's true ! God knows I don 't deserve to be here ."
67,68,"I 'd give my life to save one of them lost . I 'm sorry . I don 't deserve to be here either . Excuse me . Have you seen this girl -- E- excuse me . I 'm looking for this -- I- I 'm looking for this girl . Osa Ludwigsen . Danish . A- and the Jack family . Have you seen any of 'em ? I- I 'm looking for this girl , long blond hair . I 'm sorry . I can 't help you . Osa ! I 've been looking -- you 're all right ! I wouldn 't have left him if I 'd known there weren 't enough boats . I , uh -- excuse me , ma 'am . I -- I thought you were somebody else . I 'm sorry , ma 'am . I -- He was wearing a red hat ... Oh !"
68,69,"Doc wants to take me leg . Says it 's frostbite . Not gonna left him , though . I 'm not about to lose her , eh ? No , eh ? I just gotta keep it moving . MOLLY BROWN : Hey ! Hey , can you give me a hand here ? Yoo- hoo ! Over here ! Yes , ma 'am . Gotta get some soup into this gal , or she 's never gonna make it . Here . Come on . Hold her up for me ? Osa ... is it you ? It -- it happened , didn 't it ? You came to me in the lifeboat . I was tryin ' to keep you from fallin ' back in the water , but I closed my eyes for a second , and when I opened 'em , you was gone . Honey , you was dreamin ' ."
69,70,"She was pushed out of the boat . Mrs. Paradine and Officer Lowe pulled her out of the drink . Jamie . It 's a miracle . Is there a God after all ? Yes , and he wants you to drink this soup . Here . You got to get some nourishment . Go on . The Jacks ? I haven 't found them yet . Not even the children ? Not even the children . All those people ... they 're gone . Good people . And look at me . A common thief . Why am I still here ? What kind of God would permit that ? What 's the reason ?"
70,71,"Maybe there is not such a thing as a reason . Accept it ... the gift . A chance to start over . We know that there 's hell ... so could there be heaven ? Mrs. Paradine , you must come down below . It 's cold . The ocean 's so big , isn 't it ? And it makes one feel so small , so , uh ... insignificant . Maybe it 's just to remind us that someday ... someday we 'll all die . Yes . A ship of widows . It 's good , ma 'am , that we don 't know how things is gonna end in the beginning , or we 'd never make the journeys that we were meant to take in this life . The journeys that ... Make us who we are . You 're a good way , Officer Lowe . I guess ... what I want to say is that I -- I think you 're a good sailor . And I thank you . [ ship 's horn blows ] Look this way , please ! Mrs. Brown , over here . Oh . Mrs. Brown , you came through ."
71,72,"Well , the Titanic wasn 't unsinkable , but I am . How do you feel about the white star line ? In Leadville , Colorado , where I come from , Mr. Ismay would be hung up on the nearest pine tree . Did you lose much ? Everything I own 's at the bottom of the sea , but don 't mention it . The real shame is those lifeboats left half- empty ! Mrs. Brown , what are your plans ? I 'm thinkin ' of running ' for the senate . Hell , I survived this . I could survive politics . [ reporters chuckle ] It 's clear that John 's sons won 't be coming for me . Of course they will . So many people out there . What about you , Isabella ? Eddie will come , won 't he , in spite of the wireless ? No . No . He 's a very proud man . I was going to set the world straight ... and I only succeeded in hurting two more people . My husband and my little girl ."
72,73,"He 'll let you see Claire , won 't he ? I don 't want to think about that . I guess I 'm at his mercy . I recognized her from the picture I 'd seen in the London newspaper . Alice , now , we know who you are . Give the baby to Mr. allison 's brother here . They 'll take good care of him . I saved him . Yes , you did , but he 's not your child . Come on , now . This way ! This way ! Alice , you risked your life to save this baby , is that right ? I risked my life . Alice , we understand what you 've been through , but can you give us a little smile ? For the camera , Alice . A pretty girl like you ? You 're a real hero , Alice . Am I ? Your courageous story 's gonna be in papers all over the country ."
73,74,"Is that so ? Do you have anything to say to the people of America ? His mother , she give him to me . She knows that a strong girl I am . And the ship was going down , and there was walls of water rushing down the hallway . And she knows she can ... trust me to keep him safe . I saved him . They 're here . John 's sons , I can see them . They 're here to meet me after all . It will be all right , Madeleine . I know it will . Thank you , Isabella ... for giving me for this . Goodbye , Madeleine . Heh . No more sea voyages for me . I figure I beat the odds this time . I 'm not gonna be testing fate again . Are you still going to Californy ? Actually ..."
74,75,"I was thinking about , uh ... Minnesota . I don 't know maybe I should join the church . I don 't think you 'd really like that . I just want to be with you . Start a life with you , a better life . Maybe it 's waiting for us in Californy . No , no . Osa , I don 't want you givin ' up your dream . Well , you have a dream , too . About pictures in a box ? They have nurses and teachers in Californy . Peach trees , too . And oranges . Oranges as big as grapefruits . And we 'll grow 'em in our own backyard . And I 'll pick one for you every morning for breakfast . How 's that ? GlRL : Mama ! Mama ! Over here !"
75,76,"Mama ! Mama ! Excuse me . Oh ! - Oh ! - Mama ! Oh , my God ! Oh , my baby . Oh , my God . Oh , my beautiful little girl . I love you . Ohh ! Thank God you 're home safe . Thank God ! Eddie ... Eddie , the wireless ... I 'm -- I 'm sorry . What wireless ? I -- I sent you a wireless ? I have to explain . I never got any wireless ."
76,77,"Anyway , it doesn 't matter . Nothing else matters except ... you 're home . Yes , you 're right . I 'm home ."
