,sentence_1_id,sentence_2_id,sentence_1,sentence_2,label
827,a827,b827,"When the magnetic moments of ferromagnetic atoms are lined up, the material can produce a measurable macroscopic field.","Paramagnetic materials have atoms with magnetic moments that line up in random directions when no magnetic field is present, but the magnetic moments of the individual atoms line up in the presence of a field.The nucleus of an atom will have no spin when it has even numbers of both neutrons and protons, but for other cases of odd numbers, the nucleus may have a spin.",1
828,a828,b828,Normally nuclei with spin are aligned in random directions because of thermal equilibrium.,"However, for certain elements (such as xenon-129) it is possible to polarize a significant proportion of the nuclear spin states so that they are aligned in the same direction—a condition called hyperpolarization.",1
829,a829,b829,"This has important applications in magnetic resonance imaging.The potential energy of an electron in an atom is negative, its dependence of its position reaches the minimum (the most absolute value) inside the nucleus, and vanishes when the distance from the nucleus goes to infinity, roughly in an inverse proportion to the distance.","In the quantum-mechanical model, a bound electron can only occupy a set of states centered on the nucleus, and each state corresponds to a specific energy level; see time-independent Schrödinger equation for theoretical explanation.",1
830,a830,b830,"An energy level can be measured by the amount of energy needed to unbind the electron from the atom, and is usually given in units of electronvolts (eV).","The lowest energy state of a bound electron is called the ground state, i.e.",1
831,a831,b831,"stationary state, while an electron transition to a higher level results in an excited state.",The electron's energy raises when n increases because the (average) distance to the nucleus increases.,1
832,a832,b832,"Dependence of the energy on ℓ is caused not by electrostatic potential of the nucleus, but by interaction between electrons.For an electron to transition between two different states, e.g.","grounded state to first excited level (ionization), it must absorb or emit a photon at an energy matching the difference in the potential energy of those levels, according to Niels Bohr model, what can be precisely calculated by the Schrödinger equation.Electrons jump between orbitals in a particle-like fashion.",1
833,a833,b833,"For example, if a single photon strikes the electrons, only a single electron changes states in response to the photon; see Electron properties.The energy of an emitted photon is proportional to its frequency, so these specific energy levels appear as distinct bands in the electromagnetic spectrum.When a continuous spectrum of energy is passed through a gas or plasma, some of the photons are absorbed by atoms, causing electrons to change their energy level.","Those excited electrons that remain bound to their atom spontaneously emit this energy as a photon, traveling in a random direction, and so drop back to lower energy levels.",1
834,a834,b834,Thus the atoms behave like a filter that forms a series of dark absorption bands in the energy output.,"(An observer viewing the atoms from a view that does not include the continuous spectrum in the background, instead sees a series of emission lines from the photons emitted by the atoms.)",1
835,a835,b835,Spectroscopic measurements of the strength and width of atomic spectral lines allow the composition and physical properties of a substance to be determined.Close examination of the spectral lines reveals that some display a fine structure splitting.,"This occurs because of spin–orbit coupling, which is an interaction between the spin and motion of the outermost electron.If a bound electron is in an excited state, an interacting photon with the proper energy can cause stimulated emission of a photon with a matching energy level.",1
836,a836,b836,"For this to occur, the electron must drop to a lower energy state that has an energy difference matching the energy of the interacting photon.",The emitted photon and the interacting photon then move off in parallel and with matching phases.,1
837,a837,b837,"That is, the wave patterns of the two photons are synchronized.","This physical property is used to make lasers, which can emit a coherent beam of light energy in a narrow frequency band.Valency is the combining power of an element.",1
838,a838,b838,It is equal to number of hydrogen atoms that atom can combine or displace in forming compounds.,"The outermost electron shell of an atom in its uncombined state is known as the valence shell, and the electrons inthat shell are called valence electrons.",1
839,a839,b839,The number of valence electrons determines the bondingbehavior with other atoms.,"Atoms tend to chemically react with each other in a manner that fills (or empties) their outer valence shells.The chemical elements are often displayed in a periodic table that is laid out to display recurring chemical properties, and elements with the same number of valence electrons form a group that is aligned in the same column of the table.",1
840,a840,b840,(The horizontal rows correspond to the filling of a quantum shell of electrons.),"The elements at the far right of the table have their outer shell completely filled with electrons, which results in chemically inert elements known as the noble gases.Quantities of atoms are found in different states of matter that depend on the physical conditions, such as temperature and pressure.",1
841,a841,b841,"By varying the conditions, materials can transition between solids, liquids, gases and plasmas.","Gaseous allotropes exist as well, such as dioxygen and ozone.At temperatures close to absolute zero, atoms can form a Bose–Einstein condensate, at which point quantum mechanical effects, which are normally only observed at the atomic scale, become apparent on a macroscopic scale.The scanning tunneling microscope is a device for viewing surfaces at the atomic level.",1
842,a842,b842,"It uses the quantum tunneling phenomenon, which allows particles to pass through a barrier that would normally be insurmountable.","Electrons tunnel through the vacuum between two planar metal electrodes, on each of which is an adsorbed atom, providing a tunneling-current density that can be measured.",1
843,a843,b843,Scanning one atom (taken as the tip) as it moves past the other (the sample) permits plotting of tip displacement versus lateral separation for a constant current.,The calculation shows the extent to which scanning-tunneling-microscope images of an individual atom are visible.,1
844,a844,b844,"It confirms that for low bias, the microscope images the space-averaged dimensions of the electron orbitals across closely packed energy levels—the Fermi level local density of states.An atom can be ionized by removing one of its electrons.",The electric charge causes the trajectory of an atom to bend when it passes through a magnetic field.,1
845,a845,b845,The radius by which the trajectory of a moving ion is turned by the magnetic field is determined by the mass of the atom.,The mass spectrometer uses this principle to measure the mass-to-charge ratio of ions.,1
846,a846,b846,"If a sample contains multiple isotopes, the mass spectrometer can determine the proportion of each isotope in the sample by measuring the intensity of the different beams of ions.","Techniques to vaporize atoms include inductively coupled plasma atomic emission spectroscopy and inductively coupled plasma mass spectrometry, both of which use a plasma to vaporize samples for analysis.A more area-selective method is electron energy loss spectroscopy, which measures the energy loss of an electron beam within a transmission electron microscope when it interacts with a portion of a sample.",1
847,a847,b847,The atom-probe tomograph has sub-nanometer resolution in 3-D and can chemically identify individual atoms using time-of-flight mass spectrometry.Spectra of excited states can be used to analyze the atomic composition of distant stars.,Specific light wavelengths contained in the observed light from stars can be separated out and related to the quantized transitions in free gas atoms.,1
848,a848,b848,"These colors can be replicated using a gas-discharge lamp containing the same element.Atoms form about 4% of the total energy density of the observable Universe, with an average density of about 0.25 atoms/m3.","Within a galaxy such as the Milky Way, atoms have a much higher concentration, with the density of matter in the interstellar medium (ISM) ranging from 105 to 109 atoms/m3.",1
849,a849,b849,(The remainder of the mass is an unknown dark matter.,)Electrons are thought to exist in the Universe since early stages of the Big Bang.,1
850,a850,b850,Atomic nuclei forms in nucleosynthesis reactions.,"In about three minutes Big Bang nucleosynthesis produced most of the helium, lithium, and deuterium in the Universe, and perhaps some of the beryllium and boron.Ubiquitousness and stability of atoms relies on their binding energy, which means that an atom has a lower energy than an unbound system of the nucleus and electrons.",1
851,a851,b851,"Where the temperature is much higher than ionization potential, the matter exists in the form of plasma—a gas of positively charged ions (possibly, bare nuclei) and electrons.","When the temperature drops below the ionization potential, atoms become statistically favorable.",1
852,a852,b852,"Atoms (complete with bound electrons) became to dominate over charged particles 380,000 years after the Big Bang—an epoch called recombination, when the expanding Universe cooled enough to allow electrons to become attached to nuclei.Since the Big Bang, which produced no carbon or heavier elements, atomic nuclei have been combined in stars through the process of nuclear fusion to produce more of the element helium, and (via the triple alpha process) the sequence of elements from carbon up to iron; see stellar nucleosynthesis for details.Isotopes such as lithium-6, as well as some beryllium and boron are generated in space through cosmic ray spallation.","This occurs when a high-energy proton strikes an atomic nucleus, causing large numbers of nucleons to be ejected.Elements heavier than iron were produced in supernovae through the r-process and in AGB stars through the s-process, both of which involve the capture of neutrons by atomic nuclei.Most of the atoms that make up the Earth and its inhabitants were present in their current form in the nebula that collapsed out of a molecular cloud to form the Solar System.",1
853,a853,b853,"The rest are the result of radioactive decay, and their relative proportion can be used to determine the age of the Earth through radiometric dating.","Most of the helium in the crust of the Earth (about 99% of the helium from gas wells, as shown by its lower abundance of helium-3) is a product of alpha decay.There are a few trace atoms on Earth that were not present at the beginning (i.e., not ""primordial""), nor are results of radioactive decay.",1
854,a854,b854,"Carbon-14 is continuously generated by cosmic rays in the atmosphere.The Earth contains approximately 7050133000000000000♠1.33×1050 atoms.While isotopes with atomic numbers higher than lead (82) are known to be radioactive, an ""island of stability"" has been proposed for some elements with atomic numbers above 103.",These superheavy elements may have a nucleus that is relatively stable against radioactive decay.Each particle of matter has a corresponding antimatter particle with the opposite electrical charge.,1
855,a855,b855,"Thus, the positron is a positively charged antielectron and the antiproton is a negatively charged equivalent of a proton.","When a matter and corresponding antimatter particle meet, they annihilate each other.",1
856,a856,b856,"Because of this, along with an imbalance between the number of matter and antimatter particles, the latter are rare in the universe.","The first causes of this imbalance are not yet fully understood, although theories of baryogenesis may offer an explanation.",1
857,a857,b857,"As a result, no antimatter atoms have been discovered in nature.","However, in 1996 the antimatter counterpart of the hydrogen atom (antihydrogen) was synthesized at the CERN laboratory in Geneva.Other exotic atoms have been created by replacing one of the protons, neutrons or electrons with other particles that have the same charge.",1
858,a858,b858,"For example, an electron can be replaced by a more massive muon, forming a muonic atom.",These types of atoms can be used to test the fundamental predictions of physics.,1
859,a859,b859,"South Pacific is a musical composed by Richard Rodgers, with lyrics by Oscar Hammerstein II and book by Hammerstein and Joshua Logan.","The work premiered in 1949 on Broadway and was an immediate hit, running for 1,925 performances.",1
860,a860,b860,The plot is based on James A. Michener's Pulitzer Prize-winning 1947 book Tales of the South Pacific and combines elements of several of those stories.,"Rodgers and Hammerstein believed they could write a musical based on Michener's work that would be financially successful and, at the same time, send a strong progressive message on racism.The plot centers on an American nurse stationed on a South Pacific island during World War II, who falls in love with a middle-aged expatriate French plantation owner but struggles to accept his mixed-race children.",1
861,a861,b861,"A secondary romance, between a U.S. lieutenant and a young Tonkinese woman, explores his fears of the social consequences should he marry his Asian sweetheart.","The issue of racial prejudice is candidly explored throughout the musical, most controversially in the lieutenant's song, ""You've Got to Be Carefully Taught"".",1
862,a862,b862,"Supporting characters, including a comic petty officer and the Tonkinese girl's mother, help to tie the stories together.","Because he lacked military knowledge, Hammerstein had difficulty writing that part of the script; the director of the original production, Logan, assisted him and received credit as co-writer of the book.The original Broadway production enjoyed immense critical and box-office success, became the second-longest running Broadway musical to that point (behind Rodgers and Hammerstein's earlier Oklahoma!",1
863,a863,b863,"(1943)), and has remained popular ever since.","After they signed Ezio Pinza and Mary Martin as the leads, Rodgers and Hammerstein wrote several of the songs with the particular talents of their stars in mind.",1
864,a864,b864,The piece won the Pulitzer Prize for Drama in 1950.,"Especially in the Southern U.S., its racial theme provoked controversy, for which its authors were unapologetic.",1
865,a865,b865,"Several of its songs, including ""Bali Ha'i"", ""I'm Gonna Wash That Man Right Outa My Hair"", ""Some Enchanted Evening"", ""There Is Nothing Like a Dame"", ""Happy Talk"", ""Younger Than Springtime"", and ""I'm in Love with a Wonderful Guy"", have become popular standards.The production won ten Tony Awards, including Best Musical, Best Score, and Best Libretto, and it is the only musical production to win Tony Awards in all four acting categories.","Its original cast album was the bestselling record of the 1940s, and other recordings of the show have also been popular.",1
866,a866,b866,"The show has enjoyed many successful revivals and tours, spawning a 1958 film and television adaptations.","The 2008 Broadway revival, a critical success, ran for 996 performances and won seven Tonys, including Best Musical Revival.Although book editor and university instructor James Michener could have avoided military service in World War II as a birthright Quaker, he enlisted in the U.S. Navy in October 1942.",1
867,a867,b867,"He was not sent to the South Pacific theater until April 1944, when he was assigned to write a history of the Navy in the Pacific and was allowed to travel widely.","He survived a plane crash in New Caledonia; the near-death experience motivated him to write fiction, and he began listening to the stories told by soldiers.",1
868,a868,b868,"One journey took him to the Treasury Islands, where he discovered an unpleasant village, called Bali-ha'i, populated by ""scrawny residents and only one pig"".Tales of the South Pacific comprises nineteen stories.",Each stands independently but revolves around the preparation for an American military operation to dislodge the Japanese from a nearby island.,1
869,a869,b869,"This operation, dubbed Alligator, occurs in the penultimate story, ""The Landing at Kuralei"".","Many of the characters die in that battle, and the last story is titled ""The Cemetery at Huga Point"".",1
870,a870,b870,"The stories are thematically linked in pairs: the first and final stories are reflective, the second and eighteenth involve battle, the third and seventeenth involve preparation for battle, and so on.","The tenth story, at the center, however, is not paired with any other.",1
871,a871,b871,"This story, ""Fo' Dolla' "", was one of only four of his many works that Michener later admitted to holding in high regard.",It was the one that attracted Rodgers and Hammerstein's attention for its potential to be converted into a stage work.,1
872,a872,b872,"""Fo' Dolla' "", set in part on the island of Bali-ha'i, focuses on the romance between a young Tonkinese woman, Liat, and one of the Americans, Marine Lieutenant Joe Cable, a Princeton graduate and scion of a wealthy Main Line family.","Pressed to marry Liat by her mother, Bloody Mary, Cable reluctantly declines, realizing that the Asian girl would never be accepted by his family or Philadelphia society.",1
873,a873,b873,"He leaves for battle (where he will die) as Bloody Mary proceeds with her backup plan, to affiance Liat to a wealthy French planter on the islands.","Cable struggles, during the story, with his own racism: he is able to overcome it sufficiently to love Liat, but not enough to take her home.Another source of the musical is the eighth story, ""Our Heroine"", which is thematically paired with the 12th, ""A Boar's Tooth"", as both involve American encounters with local cultures.",1
874,a874,b874,"""Our Heroine"" tells of the romance between Navy nurse Nellie Forbush, from rural Arkansas, and a wealthy, sophisticated planter,  Frenchman Emile De Becque.","After falling in love with Emile, Nellie (who is introduced briefly in story #4, ""An Officer and a Gentleman"") learns that Emile has eight daughters, out of wedlock, with several local women.",1
875,a875,b875,"Michener tells us that ""any person ... who was not white or yellow was a nigger"" to Nellie, and while she is willing to accept two of the children (of French-Asian descent) who remain in Emile's household, she is taken aback by the other two girls who live there, evidence that the planter had cohabited with a darker Polynesian woman.","To her great relief, she learns that this woman is dead, but Nellie endangers her relationship with Emile when she is initially unable to accept Emile's ""nigger children.",1
876,a876,b876,"""Additional elements of South Pacific had their genesis in others of Michener's 19 tales.",One introduces the character of Bloody Mary; another tells of a British spy hidden on the Japanese-controlled island who relays information about Japanese movements to Allied forces by radio.,1
877,a877,b877,"Michener based the spy, dubbed ""the Remittance Man"", on Captain Martin Clemens, a Scot, who unlike his fictional counterpart, survived the war.","The stories also tell of the seemingly endless waiting that precedes battle, and the efforts of the Americans to repel boredom, which would inspire the song ""There Is Nothing Like a Dame"".In the early 1940s, composer Richard Rodgers and lyricist Oscar Hammerstein II, each a longtime Broadway veteran, joined forces and began their collaboration by writing two musicals that became massive hits, Oklahoma!",1
878,a878,b878,(1943) and Carousel (1945).,"Their next effort, Allegro (1947), was a comparative disappointment, running for less than a year, although it turned a small profit.According to director Joshua Logan, a friend of both theatre men, he and Leland Hayward mentioned Michener's best-selling book to Rodgers as a possible basis for the duo's next play,Hayward attempted to buy the rights from Michener outright, offering $500; Michener declined.",1
879,a879,b879,"Although playwright Lynn Riggs had received 1.5% of the box office grosses for the right to adapt Green Grow the Lilacs into Oklahoma!, Michener never regretted accepting one percent of the gross receipts from South Pacific.","As Rodgers and Hammerstein began their work on the adaptation, Michener worked mostly with the lyricist, but Rodgers was concerned about the implications of the setting, fearing that he would have to include ukuleles and guitars, which he disliked.",1
880,a880,b880,"Michener assured him that the only instrument he had ever heard the natives play was an emptied barrel of gasoline, drummed upon with clubs.Soon after their purchase of the rights, Rodgers and Hammerstein decided not to include a ballet, as in their earlier works, feeling that the realism of the setting would not support one.","Concerned that an adaptation too focused on ""Fo' Dolla' "", the story of the encounter between Cable and Liat, would be too similar to Madama Butterfly, Hammerstein spent months studying the other stories and focused his attention on ""Our Heroine"", the tale of the romance between Nellie and Emile.",1
881,a881,b881,The team decided to include both romances in the musical play.,"It was conventional at the time that if one love story in a musical was serious, the other would be more comedic, but in this case both were serious and focused on racial prejudice.",1
882,a882,b882,"They decided to increase the role played by Luther Billis in the stories, merging experiences and elements of several other characters into him.","Billis's wheeling and dealing would provide comic relief.In early drafts of the musical, Hammerstein gave significant parts to two characters who eventually came to have only minor roles, Bill Harbison and Dinah Culbert.",1
883,a883,b883,"Harbison is one of the major characters in Tales of the South Pacific; a model officer at the start, he gradually degenerates to the point where, with battle imminent, he requests his influential father-in-law to procure for him a transfer to a post in the United States.","Hammerstein conceived of him as a rival to Emile for Nellie's affections, and gave him a song, ""The Bright Young Executive of Today"".",1
884,a884,b884,"As redrafts focused the play on the two couples, Harbison became less essential, and he was relegated to a small role as the executive officer to the commander of the island, Captain Brackett.","Dinah, a nurse and friend of Nellie, is also a major character in Michener's work, and was seen as a possible love interest for Billis, though any actual romance was limited by Navy regulations forbidding fraternization between officers (all American nurses in World War II were commissioned officers) and enlisted men.",1
885,a885,b885,"""I'm Gonna Wash That Man Right Outa My Hair"" originated as a duet for Dinah and Nellie, with Dinah beginning the song and developing its theme.Joshua Logan, in his memoirs, stated that after months of effort in the first half of 1948, Hammerstein had written only the first scene, an outline, and some lyrics.","Hammerstein was having trouble due to lack of knowledge of the military, a matter with which Logan, a veteran of the armed forces, was able to help.",1
886,a886,b886,"The dialogue was written in consultation between the two of them, and eventually Logan asked to be credited for his work.","Rodgers and Hammerstein decided that while Logan would receive co-writing credit on the book, he would receive no author's royalties.",1
887,a887,b887,"Logan stated that a contract putting these changes into force was sent over to his lawyer with instructions that unless it was signed within two hours, Logan need not show up for rehearsals as director.","Through the decades that followed, Logan brought the matter up from time to time, demanding compensation, but when he included his version of the events in his 1976 memoirs, it was disputed by Rodgers (Hammerstein had died in 1960).Rodgers composed the music once he received the lyrics from Hammerstein.",1
888,a888,b888,A number of stories are told of the speed with which he wrote the music for South Pacific 's numbers.,"""Happy Talk"" was said to have been composed in about twenty minutes; when Hammerstein, who had sent the lyrics by messenger, called to check whether Rodgers had received them, his partner informed him that he had both lyrics and music.",1
889,a889,b889,"Legend has it he composed ""Bali Ha'i"" in ten minutes over coffee in Logan's apartment; what he did create in that time frame was the three-note motif which begins both song and musical.","Hammerstein's lyrics for ""Bali Ha'i"" were inspired by the stage backdrop which designer Jo Mielziner had painted.",1
890,a890,b890,"Feeling that the island of Bali Ha'i did not appear mysterious enough, Mielziner painted some mist near the summit of its volcano.","When Hammerstein saw this he immediately thought of the lyric, ""my head sticking up from a low-flying cloud"" and the rest of the song followed easily from that.In May 1948, Rodgers received a telephone call from Edwin Lester of the Los Angeles Civic Light Opera.",1
891,a891,b891,"Lester had signed former Metropolitan Opera star Ezio Pinza for $25,000 to star in a new show, Mr.",Ambassador.,1
892,a892,b892,"The show had not been written, and it never would be.For the role of Nellie, Rodgers sought Mary Martin, who had nearly been cast to originate the role of Laurey in Oklahoma!",Martin influenced several of her songs.,1
893,a893,b893,"While showering one day during rehearsals, she came up with the idea for a scene in which she would shampoo her hair onstage.","This gave rise to ""I'm Gonna Wash That Man Right Outa My Hair"".The producers held extensive auditions to fill the other roles.",1
894,a894,b894,They tried to get Harold Keel for the role of Cable (he had played Curly in the West End production of Oklahoma!),only to find that he had signed a contract with MGM under the name Howard Keel.,1
895,a895,b895,"William Tabbert was eventually cast as Cable, though Logan instructed him to lose 20 pounds (9.1 kg).","African-American singer Juanita Hall was cast as Bloody Mary; Logan recalled that at her audition, she took a squatting pose which proclaimed, ""I am Bloody Mary and don't you dare cast anyone else!""",1
896,a896,b896,"Logan directed (he and Hayward co-produced with Rodgers and Hammerstein), Mielziner did the stage design, Trude Rittmann and Robert Russell Bennett prepared the orchestration, and Elizabeth Montgomery of Motley Theatre Design Group designed the costumes.Rehearsals began at Broadway's Belasco Theatre on February 2, 1949.","There was no formal chorus; each of the nurses and Seabees was given a name, and, in the case of the men, $50 to equip themselves with what clothing they felt their characters would wear from the military surplus shops which lined West 42nd Street.",1
897,a897,b897,"Don Fellows, the first Lt. Buzz Adams, drew on his wartime experience as a Marine to purchase a non-regulation baseball cap and black ankle boots.","He implemented lap changes (pioneered by Rodgers and Hammerstein in Allegro), whereby the actors coming on next would already be on a darkened part of the stage as one scene concluded.",1
898,a898,b898,"This allowed the musical to continue without interruption by scene changes, making the action almost seamless.","He soon had the Seabees pacing back and forth like caged animals during ""There Is Nothing Like a Dame"", a staging so effective it was never changed during the run of the show.There were no major difficulties during the four weeks of rehearsal in New York; Martin later remembered that the ""gypsy run-through"" for friends and professional associates on a bare stage was met with some of the most enthusiastic applause she could remember.",1
899,a899,b899,"One of the few people having trouble was Pinza, who had difficulty adjusting to the constant alterations in the show – he was used to the operatic world, where a role rarely changed once learned.","Pinza's mispronunciations of English exasperated Logan, and driving to New Haven, Connecticut for the first week of previews, Pinza discussed with his wife the possibility of a return to the Met, where he knew audiences would welcome him.",1
900,a900,b900,She told him to let South Pacific 's attendees decide for themselves.,"When the tryouts began in New Haven on March 7, the play was an immediate hit; the New Haven Register wrote, ""South Pacific should make history"".Nevertheless, a number of changes were made in New Haven and in the subsequent two weeks of previews in Boston.",1
901,a901,b901,"The show was running long; Logan persuaded his friend, playwright Emlyn Williams, to go over the script and cut extraneous dialogue.South Pacific opened on Broadway on April 7, 1949, at the Majestic Theatre.Three days after the opening, Pinza signed a contract with MGM to star in films once his obligation to appear in the show expired.","He left the show June 1, 1950, replaced by Ray Middleton, though Pinza missed a number of shows due to illness before that.",1
902,a902,b902,"Martin recalled that, unused to performing eight shows a week, the former opera star would sing full out early in the week, leaving himself little voice towards the end, and would have his understudy go on.A national tour began in Cleveland, Ohio, in April 1950; it ran for five years and starred Richard Eastham as Emile, Janet Blair as Nellie and Ray Walston as Billis, a role Walston would reprise in London and in the 1958 film.","For the 48,000 tickets available in Cleveland, 250,000 requests were submitted, causing the box office to close for three weeks to process them.Martin left the Broadway production in 1951 to appear in the original London West End production; Martha Wright replaced her.",1
903,a903,b903,"Despite the departure of both original stars, the show remained a huge attraction in New York.The Broadway production transferred to the Broadway Theatre in June 1953 to accommodate Rodgers and Hammerstein's new show, Me and Juliet, although South Pacific had to be moved to Boston for five weeks because of schedule conflicts.On a South Pacific island during World War II, two half-Polynesian children, Ngana and Jerome, happily sing as they play together (""Dites-Moi"").","Ensign Nellie Forbush, a naïve U.S. Navy nurse from Little Rock, Arkansas, has fallen in love with Emile de Becque, a middle-aged French plantation owner, though she has known him only briefly.",1
904,a904,b904,"Even though everyone else is worried about the outcome of the war, Nellie tells Emile that she is sure everything will turn out all right (""A Cockeyed Optimist"").","Emile also loves Nellie, and each wonders if the other reciprocates those feelings (""Twin Soliloquies"").",1
905,a905,b905,"Emile expresses his love for Nellie, recalling how they met at the officers' club dance and instantly were attracted to each other (""Some Enchanted Evening"").","Nellie, promising to think about their relationship, returns to the hospital.",1
906,a906,b906,"Emile calls Ngana and Jerome to him, revealing to the audience that they are his children, unbeknownst to Nellie.Meanwhile, the restless American Seabees, led by crafty Luther Billis, lament the absence of available women – Navy nurses are commissioned officers and off-limits to enlisted men.","There is one civilian woman on the island, nicknamed ""Bloody Mary"", a sassy middle-aged Tonkinese vendor of grass skirts, who engages the sailors in sarcastic, flirtatious banter as she tries to sell them her wares (""Bloody Mary"").",1
907,a907,b907,"Billis yearns to visit the nearby island of Bali Ha'i – which is off-limits to all but officers – supposedly to witness a Boar's Tooth Ceremony (at which he can get an unusual native artifact); the other sailors josh him, saying that his real motivation is to see the young French women there.","Billis and the sailors further lament their lack of feminine companionship (""There Is Nothing Like a Dame"").U.S.",1
908,a908,b908,"Marine Lieutenant Cable arrives on the island from Guadalcanal, having been sent to take part in a dangerous spy mission whose success could turn the tide of the war against Japan.","Bloody Mary tries to persuade Cable to visit ""Bali Ha'i"", mysteriously telling him that it is his special island.",1
909,a909,b909,"Billis, seeing an opportunity, urges Cable to go.","Cable meets with his commanding officers, Captain George Brackett and Commander William Harbison, who plan to ask Emile to help with the mission because he used to live on the island where the mission will take place.",1
910,a910,b910,"They ask Nellie to help them find out more about Emile's background, for example, his politics and why he left France.","They have heard, for instance, that Emile committed a murder, and this might make him less than desirable for such a mission.After thinking a bit more about Emile and deciding she has become attracted on the basis of little knowledge of him, Nellie tells the other nurses that she intends to end her relationship with him (""I'm Gonna Wash That Man Right Outa My Hair"").",1
911,a911,b911,"When he arrives unexpectedly and invites Nellie to a party where he will introduce her to his friends, however, she accepts.",Emile declares his love for Nellie and asks her to marry him.,1
912,a912,b912,"When she mentions politics, he speaks of universal freedom, and describes fleeing France after standing up against a bully, who died accidentally as the two fought.","After hearing this, Nellie agrees to marry Emile.",1
913,a913,b913,"After he exits, Nellie joyously gives voice to her feelings (""I'm in Love with a Wonderful Guy"").Cable's mission is to land on a Japanese-held island and report on Japanese ship movements.","The Navy officers ask Emile to be Cable's guide, but he refuses their request because of his hopes for a new life with Nellie.",1
914,a914,b914,"Commander Harbison, the executive officer, tells Cable to go on leave until the mission can take place, and Billis obtains a boat and takes Cable to Bali Ha'i.","There, Billis participates in the native ceremony, while Bloody Mary introduces Cable to her beautiful daughter, Liat, with whom he must communicate haltingly in French.",1
915,a915,b915,"Believing that Liat's only chance at a better life is to marry an American officer, Mary leaves Liat alone with Cable.","The two are instantly attracted to each other and make love (""Younger Than Springtime"").",1
916,a916,b916,"Billis and the rest of the crew are ready to leave the island, yet must wait for Cable who, unbeknownst to them, is with Liat (""Bali Ha'i"" (reprise)).","Bloody Mary proudly tells Billis that Cable is going to be her son-in-law.Meanwhile, after Emile's party, Nellie and he reflect on how happy they are to be in love (Reprises of ""I'm in Love with a Wonderful Guy"", ""Twin Soliloquies"", ""Cockeyed Optimist"" and ""I'm Gonna Wash That Man Right Outa My Hair"").",1
917,a917,b917,Emile introduces Nellie to Jerome and Ngana.,"Though she finds them charming, she is shocked when Emile reveals that they are his children by his first wife, a dark-skinned Polynesian woman, now deceased.",1
918,a918,b918,"Nellie is unable to overcome her deep-seated racial prejudices and tearfully leaves Emile, after which he reflects sadly on what might have been (""Some Enchanted Evening"" (reprise)).It is Thanksgiving Day.","The GIs and nurses dance in a holiday revue titled ""Thanksgiving Follies"".",1
919,a919,b919,"In the past week, an epidemic of malaria has hit the island of Bali Ha'i.","Having visited Bali Ha'i often to be with Liat, Cable is also ill, but escapes from the hospital to be with Liat.",1
920,a920,b920,"As Liat and Cable spend more time together, Bloody Mary is delighted.","She encourages them to continue their carefree life on the island (""Happy Talk"") and urges them to marry.",1
921,a921,b921,"Cable, aware of his family's prejudices, says he cannot marry a Tonkinese girl.","Bloody Mary furiously drags her distraught daughter away, telling Cable that Liat must now marry a much older French plantation owner instead.",1
922,a922,b922,Cable laments his loss.,"(""Younger Than Springtime"" (reprise)).For the final number of the Thanksgiving Follies, Nellie performs a comedy burlesque dressed as a sailor singing the praises of ""his"" sweetheart (""Honey Bun"").",1
923,a923,b923,"Billis plays Honey Bun, dressed in a blond wig, grass skirt and coconut-shell bra.","After the show, Emile asks Nellie to reconsider.",1
924,a924,b924,She insists that she cannot feel the same way about him since she knows about his children's Polynesian mother.,"Frustrated and uncomprehending, Emile asks Cable why he and Nellie have such prejudices.",1
925,a925,b925,"Cable, filled with self-loathing, replies that ""it's not something you're born with"", yet it is an ingrained part of their upbringing (""You've Got to Be Carefully Taught"").","He also vows that if he gets out of the war alive, he won't go home to the United States; everything he wants is on these islands.",1
926,a926,b926,"Emile imagines what might have been (""This Nearly Was Mine"").","Dejected and feeling that he has nothing to lose, he agrees to join Cable on his dangerous mission.The mission begins with plenty of air support.",1
927,a927,b927,"Offstage, Billis stows away on the plane, falls out when the plane is hit by anti-aircraft fire, and ends up in the ocean waiting to be rescued; the massive rescue operation inadvertently becomes a diversion that allows Emile and Cable to land on the other side of the island undetected.","The two send back reports on Japanese ships' movements in the ""Slot"", a strategic strait; American aircraft intercept and destroy the Japanese ships.",1
928,a928,b928,"When the Japanese Zeros strafe the Americans' position, Emile narrowly escapes, but Cable is killed.Nellie learns of Cable's death and that Emile is missing.",She realizes that she was foolish to reject Emile because of the race of his children's mother.,1
929,a929,b929,Bloody Mary and Liat come to Nellie asking where Cable is; Mary explains that Liat refuses to marry anyone but him.,Nellie comforts Liat.,1
930,a930,b930,"Cable and Emile's espionage work has made it possible for a major offensive, Operation Alligator, to begin.","The previously idle fighting men, including Billis, go off to battle.Nellie spends time with Jerome and Ngana and soon comes to love them.",1
931,a931,b931,"While the children are teaching her to sing ""Dites-Moi,"" suddenly Emile's voice joins them.",Emile has returned to discover that Nellie has overcome her prejudices and has fallen in love with his children.,1
932,a932,b932,"Emile, Nellie and the children rejoice (""Dites-Moi"" (reprise)).A number of songs were extensively modified or omitted in the weeks leading up to the initial Broadway opening.","They are listed in the order of their one-time placement within the show:The first Australian production opened in September 1952 at His Majesty's Theatre in Melbourne, playing for 10 months and 333 performances.",1
